Iteration,MSE
1,4.639911651611328
2,39.28575325012207
3,38.22671127319336
4,56.761141777038574
5,99.29582748413085
6,117.98950640360515
7,137.6514538356236
8,154.25907850265503
9,166.2550688849555
10,155.88072395324707
11,144.28800270774147
12,141.68375714619955
13,137.7336877676157
14,140.72434507097518
15,148.70806427001952
16,150.5319800376892
17,144.12218744614546
18,138.3556253645155
19,140.9117526004189
20,135.8021095275879
21,133.78543708437965
22,137.20630749789152
23,131.97559439617655
24,130.25628519058228
25,129.08861129760743
26,134.22599249619705
27,141.47008528532805
28,136.80675608771188
29,143.1131938408161
30,149.342698097229
31,150.53399652050388
32,146.4723618030548
33,144.80882841168028
34,141.14494385438806
35,142.4095844268799
36,145.39184798134698
37,143.67753822739058
38,140.5453660864579
39,141.16796650030673
40,138.0027531147003
41,136.83452983018827
42,137.49351814814978
43,136.41231931642045
44,133.76044589822942
45,134.59579149881998
46,132.1229824812516
47,133.3198319698902
48,130.96724458535513
49,134.6784949399987
50,133.88221446990966
51,133.79859875697716
52,134.70540277774518
53,136.0693308632329
54,139.96716658274332
55,140.66064324812456
56,144.93057560920715
57,142.7541289747807
58,140.74549885453848
59,138.6583745277534
60,137.10527432759602
61,138.98908458772252
62,142.8317776341592
63,141.10230981735955
64,141.71581399440765
65,140.28665131788986
66,142.01371921192515
67,140.6900757177552
68,138.89470936270322
69,138.66321104851323
70,139.30485812595913
71,137.9090970536353
72,136.32583612865872
73,136.89415328143394
74,137.4128953572866
75,137.96833450317382
76,138.93008317445455
77,137.56095098520254
78,139.89832819425143
79,140.37692188311226
80,142.67199902534486
81,143.27515161773306
82,141.88807231623952
83,142.2536661538733
84,142.5250774565197
85,142.31823129092945
86,143.00846463580464
87,143.25523262462397
88,144.4356319254095
89,145.02751528279165
90,143.63282852172853
91,142.1548616912339
92,144.09078456007916
93,142.79843327306932
94,141.55079812191903
95,142.25242934979892
96,141.084236651659
97,142.88385846442782
98,143.04340708012484
99,143.18819931299998
100,143.51324999809265
101,142.56693822086447
102,143.0628680341384
103,141.98013515842771
104,142.1697091597777
105,142.34735517047702
106,144.2347760740316
107,144.3435623578936
108,144.62828278541565
109,143.52238746958042
110,143.51706656542692
111,142.56465484859706
112,142.85569210563386
113,144.27874208129612
114,144.42495264923363
115,144.68602101699165
116,145.07224187357673
117,145.8699340086717
